field,unit,window,definition,authoritative_code,missing_value_handling
active_agents_last_5min,count,see exact extraction expression,"Number of simultaneously active agents at the last dose-grid point or maximum across the six-hour grid, respectively.",code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
admission_type,categorical,see exact extraction expression,Source category after the existing database-specific mapping; fitted ordered categories and missing-category imputation are exported in each parameter JSON.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
age,years,see exact extraction expression,Age derived from source demographic/admission fields using the frozen database-specific extraction.,code/mimic/stage03.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
albumin_last,source laboratory units (valueuom); pH is unitless,latest qualifying observation within 6 hours,Latest qualifying blood laboratory measurement in the six hours before cessation; existing item matching and cleaning bounds are retained. No additional unit conversion is introduced.,code/mimic/stage04.py; code/mimic/stage05.py; code/mimic/stage07.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
base_excess_last,source laboratory units (valueuom); pH is unitless,latest qualifying observation within 6 hours,Latest qualifying blood laboratory measurement in the six hours before cessation; existing item matching and cleaning bounds are retained. No additional unit conversion is introduced.,code/mimic/stage04.py; code/mimic/stage05.py; code/mimic/stage07.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
bicarbonate_last,source laboratory units (valueuom); pH is unitless,latest qualifying observation within 6 hours,Latest qualifying blood laboratory measurement in the six hours before cessation; existing item matching and cleaning bounds are retained. No additional unit conversion is introduced.,code/mimic/stage04.py; code/mimic/stage05.py; code/mimic/stage07.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
bicarbonate_minutes_since,minutes,see exact extraction expression,Time since the latest qualifying laboratory measurement before cessation; missing when no qualifying value exists.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
bilirubin_total_last,source laboratory units (valueuom); pH is unitless,latest qualifying observation within 6 hours,Latest qualifying blood laboratory measurement in the six hours before cessation; existing item matching and cleaning bounds are retained. No additional unit conversion is introduced.,code/mimic/stage04.py; code/mimic/stage05.py; code/mimic/stage07.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
creatinine_last,source laboratory units (valueuom); pH is unitless,latest qualifying observation within 6 hours,Latest qualifying blood laboratory measurement in the six hours before cessation; existing item matching and cleaning bounds are retained. No additional unit conversion is introduced.,code/mimic/stage04.py; code/mimic/stage05.py; code/mimic/stage07.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
creatinine_minutes_since,minutes,see exact extraction expression,Time since the latest qualifying laboratory measurement before cessation; missing when no qualifying value exists.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
